price,likes,tips,photos,ratingSignals,rating,Restaurant_Class
2,2.0,0,1,2.0,7.6,1
2,15.0,1,6,32.0,5.8,1
2,15.0,1,1,21.0,7.3,1
1,10.0,1,49,11.0,8.1,1
1,33.0,0,23,40.0,8.1,1
1,7.0,4,4,8.0,8.0,1
1,9.0,3,11,12.0,7.7,1
1,39.0,4,41,44.0,8.2,1
1,39.0,11,32,56.0,7.1,1
1,19.0,2,6,21.0,7.9,1
1,39.0,26,209,42.0,8.9,1
1,79.0,11,19,94.0,8.7,1
1,21.0,3,28,29.0,7.7,1
1,17.0,11,10,28.0,6.8,1
1,101.0,22,26,126.0,8.5,1
1,22.0,3,72,26.0,7.9,1
1,7.0,2,0,12.0,6.5,1
1,8.0,2,13,12.0,8.3,1
1,81.0,23,77,133.0,6.3,1
1,7.0,1,8,9.0,7.5,1
1,30.0,13,49,40.0,7.5,1
1,0.0,1,10,1.0,7.2,1
1,27.0,3,4,38.0,6.6,1
1,7.0,2,2,8.0,7.2,1
1,22.0,8,5,29.0,7.0,1
2,32.0,4,12,51.0,5.9,1
1,192.0,70,1694,222.0,9.2,1
1,28.0,9,357,36.0,8.9,1
1,10.0,3,98,10.0,8.6,1
1,38.0,21,296,57.0,7.2,1
1,61.0,43,248,85.0,7.4,1
1,8.0,1,40,9.0,7.8,1
1,10.0,5,70,10.0,8.4,1
1,9.0,2,49,10.0,7.8,1
1,14.0,0,20,16.0,8.1,1
1,6.0,5,39,11.0,6.4,1
1,25.0,13,22,30.0,7.8,1
1,201.0,40,622,252.0,8.4,1
1,92.0,7,173,120.0,8.2,1
1,23.0,4,16,34.0,7.1,1
1,7.0,1,17,13.0,6.6,1
1,37.0,4,36,46.0,8.6,1
2,20.0,7,44,29.0,7.6,1
1,28.0,7,4,37.0,7.4,1
1,22.0,1,18,31.0,7.3,1
1,9.0,1,17,12.0,7.4,1
1,54.0,9,11,74.0,7.4,1
1,7.0,0,7,9.0,7.4,1
1,5.0,0,5,9.0,6.4,1
2,40.0,12,18,47.0,8.2,1
1,1.0,0,0,2.0,6.6,1
1,63.0,22,581,75.0,8.8,1
1,28.0,3,21,38.0,7.4,1
2,9.0,3,6,16.0,6.3,1
2,4.0,3,28,9.0,5.9,1
1,11.0,1,57,11.0,8.6,1
2,32.0,3,15,38.0,8.3,1
1,12.0,2,5,15.0,7.5,1
1,5.0,1,16,6.0,7.6,1
1,21.0,1,3,27.0,8.0,1
1,13.0,5,15,15.0,7.6,1
1,2.0,0,4,4.0,6.7,1
1,11.0,2,61,16.0,7.5,1
2,9.0,4,27,34.0,4.9,1
1,115.0,20,252,146.0,8.2,1
1,33.0,9,123,36.0,8.9,1
1,20.0,3,29,25.0,8.0,1
2,11.0,4,8,12.0,8.2,1
1,8.0,0,3,9.0,7.6,1
1,1.0,0,4,1.0,7.7,1
1,12.0,5,5,15.0,7.8,1
2,1.0,1,0,1.0,7.0,1
1,2.0,0,5,2.0,7.3,1
1,136.0,9,84,196.0,7.6,1
1,76.0,23,463,90.0,9.0,1
1,360.0,49,355,436.0,8.7,1
1,53.0,9,13,82.0,6.9,1
2,65.0,14,51,76.0,8.9,1
1,31.0,7,27,49.0,7.0,1
2,32.0,8,76,39.0,8.4,1
1,71.0,21,16,93.0,8.0,1
2,65.0,18,74,88.0,7.9,1
1,50.0,11,39,66.0,7.7,1
1,39.0,16,58,63.0,6.5,1
1,23.0,1,28,24.0,8.8,1
2,17.0,5,23,22.0,7.4,1
1,12.0,3,22,22.0,6.0,1
2,24.0,2,16,36.0,6.5,1
1,13.0,3,9,20.0,6.2,1
1,323.0,107,1863,385.0,9.2,1
1,177.0,63,949,228.0,8.7,1
1,50.0,8,31,71.0,7.7,1
1,221.0,44,85,269.0,8.7,1
1,18.0,4,32,22.0,8.4,1
1,35.0,21,96,73.0,5.7,1
1,17.0,0,3,19.0,8.4,1
1,13.0,6,66,21.0,7.1,1
1,7.0,2,3,9.0,7.0,1
1,12.0,1,10,17.0,6.9,1
2,60.0,24,19,77.0,8.0,1
1,23.0,4,135,35.0,7.6,1
2,16.0,2,0,22.0,7.3,1
1,12.0,6,7,16.0,7.4,1
1,7.0,3,6,9.0,7.1,1
1,29.0,10,265,38.0,8.0,1
1,9.0,0,1,16.0,6.1,1
